Unnamed: 0,product_name,category,categoryRank,noRatings,cost,product_url
85,"Bug Bite Thing Suction Tool, Poison Remover - Bug Bites and Bee/Wasp Stings, Natural Insect Bite Relief - White",Amazon Launchpad,#6,"61,279",$9.80 - $24.99,https://www.amazon.com/Bite-Thing-Suction-Poison-Remover/dp/B0B82XR3S6/ref=cm_cr_arp_d_product_top?ie=UTF8
86,Punch Fasteners,Amazon Launchpad,#7,"5,167",$6.97 - $16.49,https://www.amazon.com/Smead-Punch-Fasteners/dp/B07PPL84FY/ref=cm_cr_arp_d_product_top?ie=UTF8
87,"DUDE Wipes Flushable Wipes Dispenser, Unscented Wet Wipes with Vitamin-E & Aloe for at-Home Use, Septic and Sewer Safe, 48 Count (Pack of 6)",Amazon Launchpad,#8,"39,489",$15.36 - $39.04,https://www.amazon.com/Flushable-Dispenser-Unscented-Vitamin-at-Home/dp/B0B6JW3GG7/ref=cm_cr_arp_d_product_top?ie=UTF8
88,"DripDrop ORS Hydration - Electrolyte Powder Packets - Watermelon, Berry, Orange, Lemon",Amazon Launchpad,#9,"32,235",$18.99 - $58.99,https://www.amazon.com/DripDrop-ORS-Hydration-Electrolyte-Watermelon/dp/B09HSTB17V/ref=cm_cr_arp_d_product_top?ie=UTF8
89,Rocketbook Smart Reusable Notebook - Dot-Grid Eco-Friendly Notebook with 1 Pilot Frixion Pen & 1 Microfiber Cloth Included,Amazon Launchpad,#10,"66,447",$16.66 - $58.99,https://www.amazon.com/Rocketbook-Smart-Reusable-Notebook-Eco-Friendly/dp/B0B4GNDK56/ref=cm_cr_arp_d_product_top?ie=UTF8
90,OLLY Probiotic Berry,Amazon Launchpad,#11,"23,735",$12.40 - $39.99,https://www.amazon.com/OLLY-Digestion-Variation/dp/B09KY7S3MG/ref=cm_cr_arp_d_product_top?ie=UTF8
91,Organics,Amazon Launchpad,#12,"19,872",$16.99 - $41.21,https://www.amazon.com/Organics/dp/B0B55CMMNT/ref=cm_cr_arp_d_product_top?ie=UTF8
92,"COSRX Snail Mucin 96% Power Repairing Essence 3.38 fl.oz, 100ml, Hydrating Serum for Face with Snail Secretion Filtrate for Dark Spots and Fine Lines, Not Tested on Animals, No Parabens, No Sulfates, No Phthalates, Korean Skincare",Amazon Launchpad,#13,"16,891",$17.50,https://www.amazon.com/COSRX-Repairing-Hydrating-Secretion-Phthalates/dp/B00PBX3L7K/ref=cm_cr_arp_d_product_top?ie=UTF8
93,Prenatals,Amazon Launchpad,#14,"20,740",$16.99 - $46.31,https://www.amazon.com/Prenatals/dp/B0B5598GZB/ref=cm_cr_arp_d_product_top?ie=UTF8
94,iOttie Easy One Touch Dashboard & Windshield Universal Car Mount Phone Holder Desk Stand,Amazon Launchpad,#15,"95,490",$23.50 - $24.95,https://www.amazon.com/iOttie-Dashboard-Windshield-Universal-Holder/dp/B0B4RGFHH1/ref=cm_cr_arp_d_product_top?ie=UTF8
